metric,name,value,form,cell_type
Min.,APOE_carrier,0,carrier,Macro
Min.,exp_round,0,carrier,Macro
Min.,seq_round,0,carrier,Macro
Min.,Sex,0,carrier,Macro
Min.,Anc_Afr,3.5647066522837313e-13,carrier,Macro
Min.,Age,7.444693670108072e-12,carrier,Macro
Min.,Rin,8.157570640540376e-12,carrier,Macro
Min.,pseudo_expr_chrM_ratio,1.0254844851586903e-12,carrier,Macro
Min.,ncells,8.18798774608952e-14,carrier,Macro
Min.,Residuals,2.2866973149679377e-11,carrier,Macro
1st Qu.,APOE_carrier,5.4699840845938515e-18,carrier,Macro
1st Qu.,exp_round,0,carrier,Macro
1st Qu.,seq_round,0,carrier,Macro
1st Qu.,Sex,0,carrier,Macro
1st Qu.,Anc_Afr,0.011439993706396052,carrier,Macro
1st Qu.,Age,0.0033456798038540036,carrier,Macro
1st Qu.,Rin,0.012170427534571876,carrier,Macro
1st Qu.,pseudo_expr_chrM_ratio,0.004256101391339234,carrier,Macro
1st Qu.,ncells,0.006038237839107035,carrier,Macro
1st Qu.,Residuals,0.42309395943603506,carrier,Macro
Median,APOE_carrier,1.3146891484266388e-15,carrier,Macro
Median,exp_round,0,carrier,Macro
Median,seq_round,0,carrier,Macro
Median,Sex,0,carrier,Macro
Median,Anc_Afr,0.039738595891637946,carrier,Macro
Median,Age,0.017144211094312387,carrier,Macro
Median,Rin,0.04880269623035241,carrier,Macro
Median,pseudo_expr_chrM_ratio,0.02314963196281355,carrier,Macro
Median,ncells,0.028075653840770258,carrier,Macro
Median,Residuals,0.6302867078848833,carrier,Macro
Mean,APOE_carrier,8.601585681314362e-5,carrier,Macro
Mean,exp_round,0.07611692377607523,carrier,Macro
Mean,seq_round,0.0185508002042975,carrier,Macro
Mean,Sex,0.024385725022253505,carrier,Macro
Mean,Anc_Afr,0.06477886959280327,carrier,Macro
Mean,Age,0.04421394254746117,carrier,Macro
Mean,Rin,0.07041382460702508,carrier,Macro
Mean,pseudo_expr_chrM_ratio,0.05102832107107098,carrier,Macro
Mean,ncells,0.07613381079445435,carrier,Macro
Mean,Residuals,0.5742917665277458,carrier,Macro
3rd Qu.,APOE_carrier,4.673242586834498e-14,carrier,Macro
3rd Qu.,exp_round,0.06734417920777726,carrier,Macro
3rd Qu.,seq_round,0,carrier,Macro
3rd Qu.,Sex,0,carrier,Macro
