metric,name,value,form,SpD
Min.,APOE_carrier,0,carrier,Inhib_Sp09D09
Min.,round,0,carrier,Inhib_Sp09D09
Min.,Sex,0,carrier,Inhib_Sp09D09
Min.,Visium_slide,0,carrier,Inhib_Sp09D09
Min.,Anc_Afr,2.5088207091652022e-11,carrier,Inhib_Sp09D09
Min.,Age,6.708927391180637e-14,carrier,Inhib_Sp09D09
Min.,Rin,8.857326823555913e-12,carrier,Inhib_Sp09D09
Min.,pseudo_expr_chrM_ratio,1.22201012200858e-9,carrier,Inhib_Sp09D09
Min.,Residuals,0.047141626710089694,carrier,Inhib_Sp09D09
1st Qu.,APOE_carrier,0,carrier,Inhib_Sp09D09
1st Qu.,round,0,carrier,Inhib_Sp09D09
1st Qu.,Sex,0,carrier,Inhib_Sp09D09
1st Qu.,Visium_slide,1.3597141721570653e-20,carrier,Inhib_Sp09D09
1st Qu.,Anc_Afr,0.004616478390613859,carrier,Inhib_Sp09D09
1st Qu.,Age,0.002987128836791473,carrier,Inhib_Sp09D09
1st Qu.,Rin,0.006128578114721141,carrier,Inhib_Sp09D09
1st Qu.,pseudo_expr_chrM_ratio,0.010076722252038562,carrier,Inhib_Sp09D09
1st Qu.,Residuals,0.5889588105450343,carrier,Inhib_Sp09D09
Median,APOE_carrier,0,carrier,Inhib_Sp09D09
Median,round,0,carrier,Inhib_Sp09D09
Median,Sex,0,carrier,Inhib_Sp09D09
Median,Visium_slide,1.5240801639981837e-11,carrier,Inhib_Sp09D09
Median,Anc_Afr,0.018462793080779458,carrier,Inhib_Sp09D09
Median,Age,0.013780189484907722,carrier,Inhib_Sp09D09
Median,Rin,0.022552356729156977,carrier,Inhib_Sp09D09
Median,pseudo_expr_chrM_ratio,0.04955487808558341,carrier,Inhib_Sp09D09
Median,Residuals,0.7513599158336969,carrier,Inhib_Sp09D09
Mean,APOE_carrier,0.010281067119414197,carrier,Inhib_Sp09D09
Mean,round,0.011975982029402758,carrier,Inhib_Sp09D09
Mean,Sex,0.012735752771688638,carrier,Inhib_Sp09D09
Mean,Visium_slide,0.021535424929240234,carrier,Inhib_Sp09D09
Mean,Anc_Afr,0.0324937292768925,carrier,Inhib_Sp09D09
Mean,Age,0.03361931324491554,carrier,Inhib_Sp09D09
Mean,Rin,0.042586885872150954,carrier,Inhib_Sp09D09
Mean,pseudo_expr_chrM_ratio,0.11958164947411652,carrier,Inhib_Sp09D09
Mean,Residuals,0.7151901952821786,carrier,Inhib_Sp09D09
3rd Qu.,APOE_carrier,0,carrier,Inhib_Sp09D09
3rd Qu.,round,0,carrier,Inhib_Sp09D09
3rd Qu.,Sex,0,carrier,Inhib_Sp09D09
3rd Qu.,Visium_slide,1.1294115750021234e-9,carrier,Inhib_Sp09D09
3rd Qu.,Anc_Afr,0.046737438661904114,carrier,Inhib_Sp09D09
3rd Qu.,Age,0.043900743869127276,carrier,Inhib_Sp09D09
3rd Qu.,Rin,0.05590745511737181,carrier,Inhib_Sp09D09
